cid000000085	abdominal pain
cid000000085	amblyopia
cid000000085	anaemia
cid000000085	decreased appetite
cid000000085	anxiety
cid000000085	arrhythmia
cid000000085	asthenia
cid000000085	atrial fibrillation
cid000000085	back pain
cid000000085	bronchitis
cid000000085	cardiovascular disorder
cid000000085	chest pain
cid000000085	infection
cid000000085	constipation
cid000000085	cough
cid000000085	depression
cid000000085	diarrhoea
cid000000085	dizziness
cid000000085	dysgeusia
cid000000085	dyspepsia
cid000000085	dyspnoea
cid000000085	dermatitis
cid000000085	eye disorder
cid000000085	body temperature increased
cid000000085	gastritis
cid000000085	gastrointestinal disorder
cid000000085	headache
cid000000085	haemoglobin
cid000000085	hypercalcaemia
cid000000085	hyperkalaemia
cid000000085	hypersensitivity
cid000000085	hypertension
cid000000085	hypotension
cid000000085	influenza
cid000000085	muscle spasms
cid000000085	melaena
cid000000085	hypertonia
cid000000085	nausea
cid000000085	pain
cid000000085	palpitations
cid000000085	parathyroid disorder
cid000000085	paraesthesia
cid000000085	pharyngitis
cid000000085	pruritus
cid000000085	renal failure
cid000000085	rhinitis
cid000000085	convulsion
cid000000085	sinusitis
cid000000085	tachycardia
cid000000085	urinary tract infection
cid000000085	angiopathy
cid000000085	vertigo
cid000000085	vomiting
cid000000085	weight increased
cid000000085	weight decreased
cid000000085	skin odour abnormal
cid000000085	oedema peripheral
cid000000085	injection site reaction
cid000000085	injury
cid000000085	gastric atony
cid000000085	musculoskeletal discomfort
cid000000085	electrocardiogram abnormal
cid000000085	fluid overload
cid000000085	insomnia
cid000000085	muscular weakness
cid000000085	drug dependence
cid000000119	anaphylactic shock
cid000000119	angioedema
cid000000119	pain
cid000000119	urticaria
cid000000119	injection site pain
cid000000137	anaemia
cid000000137	aphasia
cid000000137	mental disorder
cid000000137	brain neoplasm
cid000000137	infection
cid000000137	diarrhoea
cid000000137	oedema
cid000000137	dermatitis
cid000000137	excoriation
cid000000137	eye disorder
cid000000137	body temperature increased
cid000000137	gastrointestinal disorder
cid000000137	glioma
cid000000137	headache
cid000000137	cardiac disorder
cid000000137	hemianopia
cid000000137	hemiparesis
cid000000137	haemoglobin
cid000000137	herpes simplex
cid000000137	hyperaesthesia
cid000000137	hypoaesthesia
cid000000137	hypotension
cid000000137	leukocytosis
cid000000137	nausea
cid000000137	neoplasm
cid000000137	nervous system disorder
cid000000137	nervousness
cid000000137	pain
cid000000137	paraesthesia
cid000000137	petechiae
cid000000137	pruritus
cid000000137	respiratory failure
cid000000137	seborrhoeic dermatitis
cid000000137	convulsion
cid000000137	skin disorder
cid000000137	photosensitivity reaction
cid000000137	thrombocytopenia
cid000000137	embolism
cid000000137	ulcer
cid000000137	erythema
cid000000137	angiopathy
cid000000137	vomiting
cid000000137	chills
cid000000137	rash pustular
cid000000137	application site reaction
cid000000137	gamma-glutamyltransferase increased
cid000000137	skin hypertrophy
cid000000137	aspartate aminotransferase increased
cid000000137	alanine aminotransferase increased
cid000000137	dry skin
cid000000137	eyelid oedema
cid000000137	skin hyperpigmentation
cid000000137	leukoderma
cid000000137	scab
cid000000137	urticaria
cid000000137	discomfort
cid000000137	tenderness
cid000000137	skin exfoliation
cid000000137	skin tightness
cid000000137	hepatobiliary disease
cid000000137	blood bilirubin increased
cid000000137	induration
cid000000137	feeling hot
cid000000137	dysaesthesia
cid000000137	wound secretion
cid000000137	rash maculo-papular
cid000000137	application site irritation
cid000000137	skin cancer
cid000000137	acne
cid000000137	infestation
cid000000137	amylase increased
cid000000137	accidental exposure to product
cid000000137	hyperkeratosis
cid000000137	photodermatosis
cid000000137	brain oedema
cid000000143	abdominal pain
cid000000143	alopecia
cid000000143	decreased appetite
cid000000143	asthenia
cid000000143	infection
cid000000143	confusional state
cid000000143	constipation
cid000000143	dermatitis
cid000000143	diarrhoea
cid000000143	dysgeusia
cid000000143	dyspepsia
cid000000143	dyspnoea
cid000000143	extravasation
cid000000143	body temperature increased
cid000000143	gastrointestinal disorder
cid000000143	hypersensitivity
cid000000143	lethargy
cid000000143	leukopenia
cid000000143	nausea
cid000000143	pruritus
cid000000143	convulsion
cid000000143	skin disorder
cid000000143	stomatitis
cid000000143	dizziness
cid000000143	thrombocytopenia
cid000000143	erythema
cid000000143	urticaria
cid000000143	vomiting
cid000000143	wheezing
cid000000143	renal impairment
cid000000143	discomfort
cid000000143	abdominal pain upper
cid000000143	abdominal pain lower
cid000000143	abdominal tenderness
cid000000143	disease progression
cid000000143	caecitis
cid000000143	anaphylactic shock
cid000000143	chills
cid000000143	neuropathy peripheral
cid000000143	blood creatinine increased
cid000000143	febrile neutropenia
cid000000143	sensitisation
cid000000143	renal failure acute
cid000000146	sensitisation
cid000000158	abdominal pain
cid000000158	premature separation of placenta
cid000000158	anaphylactic shock
cid000000158	arrhythmia
cid000000158	arthralgia
cid000000158	asthenia
cid000000158	asthma
cid000000158	back pain
cid000000158	bronchospasm
cid000000158	chest pain
cid000000158	cough
cid000000158	dehydration
cid000000158	diarrhoea
cid000000158	disseminated intravascular coagulation
cid000000158	dizziness
cid000000158	dyspnoea
cid000000158	anaphylactoid syndrome of pregnancy
cid000000158	endometritis
cid000000158	dermatitis
cid000000158	foetal distress syndrome
cid000000158	body temperature increased
cid000000158	flushing
cid000000158	headache
cid000000158	cardiac arrest
cid000000158	foetal heart rate
cid000000158	hiccups
cid000000158	hypersensitivity
cid000000158	hypertension
cid000000158	hypotension
cid000000158	immune system disorder
cid000000158	inflammation
