a	alimentary tract and metabolism	http://en.wikipedia.org/wiki/atc_code_a	
b	blood and blood forming organs 	http://en.wikipedia.org/wiki/atc_code_b	
c	cardiovascular system 	http://en.wikipedia.org/wiki/atc_code_c	
d	dermatologicals	http://en.wikipedia.org/wiki/atc_code_d	
g	genito-urinary system and sex hormones 	http://en.wikipedia.org/wiki/atc_code_g	
h	systemic hormonal preparations, excluding sex hormones and insulins 	http://en.wikipedia.org/wiki/atc_code_h	
j	antiinfectives for systemic use 	http://en.wikipedia.org/wiki/atc_code_j	
l	antineoplastic and immunomodulating agents 	http://en.wikipedia.org/wiki/atc_code_l	
m	musculo-skeletal system 	http://en.wikipedia.org/wiki/atc_code_m	
n	nervous system 	http://en.wikipedia.org/wiki/atc_code_n	
p	antiparasitic products, insecticides and repellents 	http://en.wikipedia.org/wiki/atc_code_p	
r	respiratory system 	http://en.wikipedia.org/wiki/atc_code_r	
s	sensory organs 	http://en.wikipedia.org/wiki/atc_code_s	
v	various	http://en.wikipedia.org/wiki/atc_code_v	
a01	stomatological preparations	http://en.wikipedia.org/wiki/atc_code_a01	
a02	drugs for acid related disorders	http://en.wikipedia.org/wiki/atc_code_a02	
a03	drugs for functional gastrointestinal disorders	http://en.wikipedia.org/wiki/atc_code_a03	
a04	antiemetics and antinauseants	http://en.wikipedia.org/wiki/atc_code_a04	
a05	bile and liver therapy	http://en.wikipedia.org/wiki/atc_code_a05	
a06	drugs for constipation	http://en.wikipedia.org/wiki/atc_code_a06	
a07	antidiarrheals, intestinal anti-inflammatory/anti-infective agents	http://en.wikipedia.org/wiki/atc_code_a07	
a08	antiobesity preparations, excluding diet products	http://en.wikipedia.org/wiki/atc_code_a08	
a09	digestives,including enzymes	http://en.wikipedia.org/wiki/atc_code_a09	
a10	drugs used in diabetes	http://en.wikipedia.org/wiki/atc_code_a10	
a11	vitamins	http://en.wikipedia.org/wiki/atc_code_a11	
a12	mineral supplements	http://en.wikipedia.org/wiki/atc_code_a12	
a13	tonics	http://en.wikipedia.org/wiki/atc_code_a13	
a14	anabolic agents for systemic use	http://en.wikipedia.org/wiki/atc_code_a14	
a15	appetite stimulants	http://en.wikipedia.org/wiki/atc_code_a15	
a16	other alimentary tract and metabolism products	http://en.wikipedia.org/wiki/atc_code_a16	
b01	antithrombotic agents	http://en.wikipedia.org/wiki/atc_code_b01	
b02	antihemorrhagics	http://en.wikipedia.org/wiki/atc_code_b02	
b03	antianemic preparations	http://en.wikipedia.org/wiki/atc_code_b03	
b05	blood substitutes and perfusion solutions	http://en.wikipedia.org/wiki/atc_code_b05	
b06	other hematological agents	http://en.wikipedia.org/wiki/atc_code_b06	
c01	cardiac therapy	http://en.wikipedia.org/wiki/atc_code_c01	
c02	antihypertensives	http://en.wikipedia.org/wiki/atc_code_c02	
c03	diuretics	http://en.wikipedia.org/wiki/atc_code_c03	
c04	peripheral vasodilators	http://en.wikipedia.org/wiki/atc_code_c04	
c05	vasoprotectives	http://en.wikipedia.org/wiki/atc_code_c05	
c07	beta blocking agents	http://en.wikipedia.org/wiki/atc_code_c07	
c08	calcium channel blockers	http://en.wikipedia.org/wiki/atc_code_c08	
c09	agents acting on the renin-angiotensin system	http://en.wikipedia.org/wiki/atc_code_c09	
c10	lipid modifying agents	http://en.wikipedia.org/wiki/atc_code_c10	
d01	antifungals for dermatological use	http://en.wikipedia.org/wiki/atc_code_d01	
d02	emollients and protectives	http://en.wikipedia.org/wiki/atc_code_d02	
d03	preparations for treatment of wounds and ulcers	http://en.wikipedia.org/wiki/atc_code_d03	
d04	antipruritics, including antihistamines, anesthetics, etc	http://en.wikipedia.org/wiki/atc_code_d04	
d05	antipsoriatics	http://en.wikipedia.org/wiki/atc_code_d05	
d06	antibiotics and chemotherapeutics for dermatological use	http://en.wikipedia.org/wiki/atc_code_d06	
d07	corticosteroids, dermatological preparations	http://en.wikipedia.org/wiki/atc_code_d07	
d08	antiseptics and disinfectants	http://en.wikipedia.org/wiki/atc_code_d08	
d09	medicated dressings	http://en.wikipedia.org/wiki/atc_code_d09	
d10	anti-acne preparations	http://en.wikipedia.org/wiki/atc_code_d10	
d11	other dermatological preparations	http://en.wikipedia.org/wiki/atc_code_d11	
g01	gynecological antiinfectives and antiseptics	http://en.wikipedia.org/wiki/atc_code_g01	
g02	other gynecologicals	http://en.wikipedia.org/wiki/atc_code_g02	
g03	sex hormones and modulators of the genital system	http://en.wikipedia.org/wiki/atc_code_g03	
g04	urologicals	http://en.wikipedia.org/wiki/atc_code_g04	
h01	pituitary and hypothalamic hormones and analogues	http://en.wikipedia.org/wiki/atc_code_h01	
h02	corticosteroids for systemic use	http://en.wikipedia.org/wiki/atc_code_h02	
h03	thyroid therapy	http://en.wikipedia.org/wiki/atc_code_h03	
h04	pancreatic hormones	http://en.wikipedia.org/wiki/atc_code_h04	
h05	calcium homeostasis	http://en.wikipedia.org/wiki/atc_code_h05	
j01	antibacterials for systemic use	http://en.wikipedia.org/wiki/atc_code_j01	
j02	antimycotics for systemic use	http://en.wikipedia.org/wiki/atc_code_j02	
j04	antimycobacterials	http://en.wikipedia.org/wiki/atc_code_j04	
j05	antivirals for systemic use	http://en.wikipedia.org/wiki/atc_code_j05	
j06	immune sera and immunoglobulins	http://en.wikipedia.org/wiki/atc_code_j06	
j07	vaccines	http://en.wikipedia.org/wiki/atc_code_j07	
l01	antineoplastic agents	http://en.wikipedia.org/wiki/atc_code_l01	
l02	endocrine therapy	http://en.wikipedia.org/wiki/atc_code_l02	
l03	immunostimulants	http://en.wikipedia.org/wiki/atc_code_l03	
l04	immunosuppressants	http://en.wikipedia.org/wiki/atc_code_l04	
m01	anti-inflammatory and antirheumatic products	http://en.wikipedia.org/wiki/atc_code_m01	
m02	topical products for joint and muscular pain	http://en.wikipedia.org/wiki/atc_code_m02	
m03	muscle relaxants	http://en.wikipedia.org/wiki/atc_code_m03	
m04	antigout preparations	http://en.wikipedia.org/wiki/atc_code_m04	
m05	drugs for treatment of bone diseases	http://en.wikipedia.org/wiki/atc_code_m05	
m09	other drugs for disorders of the musculo-skeletal system	http://en.wikipedia.org/wiki/atc_code_m09	
n01	anesthetics	http://en.wikipedia.org/wiki/atc_code_n01	
n02	analgesics	http://en.wikipedia.org/wiki/atc_code_n02	
n03	antiepileptics	http://en.wikipedia.org/wiki/atc_code_n03	
n04	anti-parkinson drugs	http://en.wikipedia.org/wiki/atc_code_n04	
n05	psycholeptics	http://en.wikipedia.org/wiki/atc_code_n05	
n06	psychoanaleptics	http://en.wikipedia.org/wiki/atc_code_n06	
n07	other nervous system drugs	http://en.wikipedia.org/wiki/atc_code_n07	
p01	antiprotozoals	http://en.wikipedia.org/wiki/atc_code_p01	
p02	anthelmintics	http://en.wikipedia.org/wiki/atc_code_p02	
p03	ectoparasiticides, including scabicides, insecticides and repellents	http://en.wikipedia.org/wiki/atc_code_p03	
r01	nasal preparations	http://en.wikipedia.org/wiki/atc_code_r01	
r02	throat preparations	http://en.wikipedia.org/wiki/atc_code_r02	
r03	drugs for obstructive airway diseases	http://en.wikipedia.org/wiki/atc_code_r03	
r05	cough and cold preparations	http://en.wikipedia.org/wiki/atc_code_r05	
r06	antihistamines for systemic use	http://en.wikipedia.org/wiki/atc_code_r06	
r07	other respiratory system products	http://en.wikipedia.org/wiki/atc_code_r07	
s01	ophthalmologicals	http://en.wikipedia.org/wiki/atc_code_s01	
s02	otologicals	http://en.wikipedia.org/wiki/atc_code_s02	
s03	ophthalmological and otological preparations	http://en.wikipedia.org/wiki/atc_code_s03	
v01	allergens	http://en.wikipedia.org/wiki/atc_code_v01	
v03	all other therapeutic products	http://en.wikipedia.org/wiki/atc_code_v03	
v04	diagnostic agents	http://en.wikipedia.org/wiki/atc_code_v04	
v06	general nutrients	http://en.wikipedia.org/wiki/atc_code_v06	
v07	all other non-therapeutic products	http://en.wikipedia.org/wiki/atc_code_v07	
v08	contrast media	http://en.wikipedia.org/wiki/atc_code_v08	
v09	diagnostic radiopharmaceuticals	http://en.wikipedia.org/wiki/atc_code_v09	
v10	therapeutic radiopharmaceuticals	http://en.wikipedia.org/wiki/atc_code_v10	
v20	surgical dressings	http://en.wikipedia.org/wiki/atc_code_v20	
a01a	stomatological preparations	http://en.wikipedia.org/wiki/atc_code_a01a	
a02a	antacids	http://en.wikipedia.org/wiki/atc_code_a02a	
a02b	drugs for peptic ulcer and gastro-oesophageal reflux disease (gord)	http://en.wikipedia.org/wiki/atc_code_a02b	
a02x	other drugs for acid related disorders	http://en.wikipedia.org/wiki/atc_code_a02x	
a03a	drugs for functional gastrointestinal disorders	http://en.wikipedia.org/wiki/atc_code_a03a	
a03b	belladonna and derivatives, plain	http://en.wikipedia.org/wiki/atc_code_a03b	
a03c	antispasmodics in combination with psycholeptics	http://en.wikipedia.org/wiki/atc_code_a03c	
a03d	antispasmodics in combination with analgesics	http://en.wikipedia.org/wiki/atc_code_a03d	
a03e	antispasmodics and anticholinergics in combination with other drugs	http://en.wikipedia.org/wiki/atc_code_a03e	
a03f	propulsives	http://en.wikipedia.org/wiki/atc_code_a03f	
a04a	antiemetics and antinauseants	http://en.wikipedia.org/wiki/atc_code_a04a	
a05a	bile therapy	http://en.wikipedia.org/wiki/atc_code_a05a	
a05b	liver therapy, lipotropics	http://en.wikipedia.org/wiki/atc_code_a05b	
a05c	drugs for bile therapy and lipotropics in combination	http://en.wikipedia.org/wiki/atc_code_a05c	
a06a	drugs for constipation	http://en.wikipedia.org/wiki/atc_code_a06a	
a07a	intestinal anti-infectives	http://en.wikipedia.org/wiki/atc_code_a07a	
a07b	intestinal adsorbents	http://en.wikipedia.org/wiki/atc_code_a07b	
a07c	electrolytes with carbohydrates	http://en.wikipedia.org/wiki/atc_code_a07c	
a07d	antipropulsives	http://en.wikipedia.org/wiki/atc_code_a07d	
a07e	intestinal anti-inflammatory agents	http://en.wikipedia.org/wiki/atc_code_a07e	
a07f	antidiarrheal micro-organisms	http://en.wikipedia.org/wiki/atc_code_a07f	
a07x	other antidiarrheals	http://en.wikipedia.org/wiki/atc_code_a07x	
a08a	antiobesity preparations, excluding diet products	http://en.wikipedia.org/wiki/atc_code_a08a	
a09a	digestives, including enzymes	http://en.wikipedia.org/wiki/atc_code_a09a	
a10a	insulins and analogues	http://en.wikipedia.org/wiki/atc_code_a10a	
a10b	blood glucose lowering drugs, excluding insulins	http://en.wikipedia.org/wiki/atc_code_a10b	
a10x	other drugs used in diabetes	http://en.wikipedia.org/wiki/atc_code_a10x	
a11a	multivitamins, combinations	http://en.wikipedia.org/wiki/atc_code_a11a	
a11b	multivitamins, plain	http://en.wikipedia.org/wiki/atc_code_a11b	
a11c	vitamin a and d, including combinations of the two	http://en.wikipedia.org/wiki/atc_code_a11c	
a11d	vitamin b1, plain and in combination with vitamin b6 and b12	http://en.wikipedia.org/wiki/atc_code_a11d	
a11e	vitamin b-complex, including combinations	http://en.wikipedia.org/wiki/atc_code_a11e	
a11g	ascorbic acid (vitamin c), including combinations	http://en.wikipedia.org/wiki/atc_code_a11g	
a11h	other plain vitamin preparations	http://en.wikipedia.org/wiki/atc_code_a11h	
a11j	other vitamin products, combinations	http://en.wikipedia.org/wiki/atc_code_a11j	
